timestamp,gnb,metric_name,metric_value
2026-03-26 17:14:01.100,source,DRB.PdcpSduVolumeUL,0.584
2026-03-26 17:14:01.100,source,DRB.RlcSduDelayDl,0.000
2026-03-26 17:14:01.100,source,DRB.UEThpDl,16855920.160
2026-03-26 17:14:01.100,source,DRB.UEThpUl,1811.440
2026-03-26 17:14:01.100,source,RRU.PrbTotDl,5984225.000
2026-03-26 17:14:01.100,source,RRU.PrbTotUl,28076.000
2026-03-26 17:14:01.195,source,RSRP,-98.000
2026-03-26 17:14:01.195,source,RSRQ,-11.000
2026-03-26 17:14:01.195,source,SINR,20.500
2026-03-26 17:14:01.200,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.200,source,DRB.RlcSduDelayDl,1774541641150718.250
2026-03-26 17:14:01.200,source,DRB.UEThpDl,15723.920
2026-03-26 17:14:01.200,source,DRB.UEThpUl,0.960
2026-03-26 17:14:01.200,source,RRU.PrbTotDl,5100.000
2026-03-26 17:14:01.200,source,RRU.PrbTotUl,20.000
2026-03-26 17:14:01.299,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.299,source,DRB.RlcSduDelayDl,1774541641250098.750
2026-03-26 17:14:01.300,source,DRB.UEThpDl,15882.480
2026-03-26 17:14:01.300,source,DRB.UEThpUl,0.720
2026-03-26 17:14:01.300,source,RRU.PrbTotDl,5151.000
2026-03-26 17:14:01.300,source,RRU.PrbTotUl,15.000
2026-03-26 17:14:01.399,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.399,source,DRB.RlcSduDelayDl,1774541641350313.250
2026-03-26 17:14:01.400,source,DRB.UEThpDl,15941.120
2026-03-26 17:14:01.400,source,DRB.UEThpUl,0.960
2026-03-26 17:14:01.400,source,RRU.PrbTotDl,5202.000
2026-03-26 17:14:01.400,source,RRU.PrbTotUl,20.000
2026-03-26 17:14:01.499,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.499,source,DRB.RlcSduDelayDl,1774541641450248.750
2026-03-26 17:14:01.500,source,DRB.UEThpDl,15882.720
2026-03-26 17:14:01.500,source,DRB.UEThpUl,0.960
2026-03-26 17:14:01.500,source,RRU.PrbTotDl,5151.000
2026-03-26 17:14:01.500,source,RRU.PrbTotUl,20.000
2026-03-26 17:14:01.599,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.599,source,DRB.RlcSduDelayDl,1774541641550881.500
2026-03-26 17:14:01.599,source,DRB.UEThpDl,16147.840
2026-03-26 17:14:01.599,source,DRB.UEThpUl,0.960
2026-03-26 17:14:01.600,source,RRU.PrbTotDl,5763.000
2026-03-26 17:14:01.600,source,RRU.PrbTotUl,20.000
2026-03-26 17:14:01.699,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.699,source,DRB.RlcSduDelayDl,1774541641650377.750
2026-03-26 17:14:01.699,source,DRB.UEThpDl,16052.800
2026-03-26 17:14:01.700,source,DRB.UEThpUl,0.960
2026-03-26 17:14:01.700,source,RRU.PrbTotDl,5865.000
2026-03-26 17:14:01.700,source,RRU.PrbTotUl,20.000
2026-03-26 17:14:01.799,source,DRB.PdcpSduVolumeUL,0.000
2026-03-26 17:14:01.800,source,DRB.RlcSduDelayDl,1774541641750836.250
2026-03-26 17:14:01.800,source,DRB.UEThpDl,16526.000
2026-03-26 17:14:01.800,source,DRB.UEThpUl,0.960
